Date,Price,Open,High,Low,Vol
19-06-2023,564.31,568.9,571.44,562.47,6.28
20-06-2023,581.46,564.31,582.15,560.77,18.07
21-06-2023,579.61,583.15,584.1,572.73,9.15
22-06-2023,567.6,582.2,582.9,566.45,11.23
23-06-2023,557.93,568.25,569.39,555.98,9.36
26-06-2023,566.1,558.28,567.25,556.08,6.99
27-06-2023,571.34,568.25,575.13,566.7,9.4
28-06-2023,584.84,577.22,588.18,573.73,16.72
30-06-2023,593.72,586.54,597.16,586.19,12.49
03-07-2023,588.98,598.15,600.45,588.18,11.13
04-07-2023,589.63,592.57,594.57,587.69,6.92
05-07-2023,586.44,590.18,591.18,583.15,8.72
06-07-2023,598.95,588.98,603.09,586.74,14.36
07-07-2023,616.3,598.15,622.88,590.38,21.07
10-07-2023,616.75,622.08,632.85,615.65,23.8
11-07-2023,626.57,623.03,628.51,620.24,12.05
12-07-2023,619.54,628.01,628.86,617.45,10.79
13-07-2023,618.74,623.08,624.57,613.61,9.69
14-07-2023,622.98,621.08,624.07,617.59,7.01
17-07-2023,616.6,624.97,625.07,615.25,7.58
18-07-2023,610.22,618.49,618.94,605.13,10.36
19-07-2023,618.69,612.11,623.38,608.27,11.13
20-07-2023,619.74,620.73,621.68,614.3,7.83
21-07-2023,623.83,619.09,629.06,615.8,12.91
24-07-2023,627.31,626.02,632.5,624.32,12.25
25-07-2023,637.48,634.04,640.52,631.4,13.99
26-07-2023,639.13,638.03,663.35,637.03,31.67
27-07-2023,641.72,645.01,646.46,634.79,11.7
28-07-2023,633.35,644.01,644.01,629.86,9.3
31-07-2023,642.32,638.23,643.56,633.94,7.5
01-08-2023,641.67,643.02,650.89,640.03,8.92
02-08-2023,620.73,642.02,642.32,614.55,15.76
03-08-2023,617.05,621.08,624.52,612.26,11.46
04-08-2023,613.11,622.93,623.08,611.41,11.81
07-08-2023,607.63,617.1,617.1,606.63,9.89
08-08-2023,605.43,610.67,612.86,603.39,8.86
09-08-2023,620.64,608.72,622.08,603.49,13.36
10-08-2023,616.35,621.08,626.37,596.16,53.12
